phenotype_id	phenotype_name	study_id	study_name	study_status	dataset_type	raw_dataset_id	nber_dgrp_lines	nber_sex_female	nber_sex_male	nber_sex_na	is_numeric	is_continuous	summary_type	unit	description
1249	Microbiota_OTU016	7	Chaston et al., 2016	integrated	summary		79	0	79	0	true	true	NA	NA	OTU taxon abundance in microbiota composition [class=<i>Alphaproteobacteria</i>][order=<i>Rhizobiales</i>][family=<i>Brucellaceae</i>][genus=<i>Ochrobactrum</i>][species=NA] (OTU_ID: 016)
1250	Microbiota_OTU017	7	Chaston et al., 2016	integrated	summary		79	0	79	0	true	true	NA	NA	OTU taxon abundance in microbiota composition [class=<i>Alphaproteobacteria</i>][order=<i>Rhodospirillales</i>][family=<i>Acetobacteraceae</i>][genus=<i>Acetobacter</i>][species=NA] (OTU_ID: 017)
1251	Microbiota_OTU018	7	Chaston et al., 2016	integrated	summary		79	0	79	0	true	true	NA	NA	OTU taxon abundance in microbiota composition [class=<i>Gammaproteobacteria</i>][order=<i>Pseudomonadales</i>][family=<i>Moraxellaceae</i>][genus=<i>Acinetobacter</i>][species=NA] (OTU_ID: 018)
1252	Microbiota_OTU019	7	Chaston et al., 2016	integrated	summary		79	0	79	0	true	true	NA	NA	OTU taxon abundance in microbiota composition [class=<i>Gammaproteobacteria</i>][order=<i>Pseudomonadales</i>][family=<i>Moraxellaceae</i>][genus=<i>Acinetobacter</i>][species=<i>Acinetobacterrhizosphaerae</i>] (OTU_ID: 019)
1253	Microbiota_OTU020	7	Chaston et al., 2016	integrated	summary		79	0	79	0	true	true	NA	NA	OTU taxon abundance in microbiota composition [class=<i>Gammaproteobacteria</i>][order=<i>Xanthomonadales</i>][family=<i>Xanthomonadaceae</i>][genus=<i>Rhodanobacter</i>][species=<i>Rhodanobacterlindaniclasticus</i>] (OTU_ID: 020)
1254	Microbiota_OTU021	7	Chaston et al., 2016	integrated	summary		79	0	79	0	true	true	NA	NA	OTU taxon abundance in microbiota composition [class=<i>Gammaproteobacteria</i>][order=<i>Enterobacteriales</i>][family=<i>Enterobacteriaceae</i>][genus=<i>Enterobacter</i>][species=<i>Enterobacterhormaechei</i>] (OTU_ID: 021)
1255	Microbiota_OTU022	7	Chaston et al., 2016	integrated	summary		79	0	79	0	true	true	NA	NA	OTU taxon abundance in microbiota composition [class=<i>Actinobacteria</i>][order=<i>Actinomycetales</i>][family=<i>Microbacteriaceae</i>][genus=<i>Microbacterium</i>][species=NA] (OTU_ID: 022)
1256	Microbiota_OTU023	7	Chaston et al., 2016	integrated	summary		79	0	79	0	true	true	NA	NA	OTU taxon abundance in microbiota composition [class=<i>Sphingobacteria</i>][order=<i>Sphingobacteriales</i>][family=<i>Sphingobacteriaceae</i>][genus=<i>Sphingobacterium</i>][species=NA] (OTU_ID: 023)
1257	Microbiota_OTU024	7	Chaston et al., 2016	integrated	summary		79	0	79	0	true	true	NA	NA	OTU taxon abundance in microbiota composition [class=<i>Alphaproteobacteria</i>][order=<i>Sphingomonadales</i>][family=<i>Sphingomonadaceae</i>][genus=<i>Novosphingobium</i>][species=NA] (OTU_ID: 024)
1258	Microbiota_OTU025	7	Chaston et al., 2016	integrated	summary		79	0	79	0	true	true	NA	NA	OTU taxon abundance in microbiota composition [class=<i>Alphaproteobacteria</i>][order=<i>Rhizobiales</i>][family=<i>Brucellaceae</i>][genus=<i>Ochrobactrum</i>][species=NA] (OTU_ID: 025)
1259	Microbiota_OTU026	7	Chaston et al., 2016	integrated	summary		79	0	79	0	true	true	NA	NA	OTU taxon abundance in microbiota composition [class=<i>Gammaproteobacteria</i>][order=<i>Pseudomonadales</i>][family=<i>Moraxellaceae</i>][genus=<i>Acinetobacter</i>][species=<i>Acinetobacterjohnsonii</i>] (OTU_ID: 026)
1260	Microbiota_OTU027	7	Chaston et al., 2016	integrated	summary		79	0	79	0	true	true	NA	NA	OTU taxon abundance in microbiota composition [class=<i>Alphaproteobacteria</i>][order=<i>Rhodospirillales</i>][family=<i>Acetobacteraceae</i>][genus=<i>Acetobacter</i>][species=NA] (OTU_ID: 027)
1261	Microbiota_OTU028	7	Chaston et al., 2016	integrated	summary		79	0	79	0	true	true	NA	NA	OTU taxon abundance in microbiota composition [class=<i>Gammaproteobacteria</i>][order=<i>Xanthomonadales</i>][family=<i>Xanthomonadaceae</i>][genus=NA][species=NA] (OTU_ID: 028)
1262	Microbiota_OTU029	7	Chaston et al., 2016	integrated	summary		79	0	79	0	true	true	NA	NA	OTU taxon abundance in microbiota composition [class=<i>Gammaproteobacteria</i>][order=<i>Pseudomonadales</i>][family=<i>Pseudomonadaceae</i>][genus=<i>Pseudomonas</i>][species=NA] (OTU_ID: 029)
1263	Microbiota_OTU030	7	Chaston et al., 2016	integrated	summary		79	0	79	0	true	true	NA	NA	OTU taxon abundance in microbiota composition [class=<i>Alphaproteobacteria</i>][order=<i>Caulobacterales</i>][family=<i>Caulobacteraceae</i>][genus=<i>Mycoplana</i>][species=NA] (OTU_ID: 030)
1264	Microbiota_OTU031	7	Chaston et al., 2016	integrated	summary		79	0	79	0	true	true	NA	NA	OTU taxon abundance in microbiota composition [class=<i>Alphaproteobacteria</i>][order=<i>Rhizobiales</i>][family=<i>Rhizobiaceae</i>][genus=<i>Agrobacterium</i>][species=NA] (OTU_ID: 031)
1265	Microbiota_OTU032	7	Chaston et al., 2016	integrated	summary		79	0	79	0	true	true	NA	NA	OTU taxon abundance in microbiota composition [class=<i>Actinobacteria</i>][order=<i>Actinomycetales</i>][family=<i>Nocardiaceae</i>][genus=<i>Rhodococcus</i>][species=NA] (OTU_ID: 032)
1266	Microbiota_OTU033	7	Chaston et al., 2016	integrated	summary		79	0	79	0	true	true	NA	NA	OTU taxon abundance in microbiota composition [class=<i>Actinobacteria</i>][order=<i>Actinomycetales</i>][family=<i>Microbacteriaceae</i>][genus=<i>Leucobacter</i>][species=NA] (OTU_ID: 033)
1267	Microbiota_OTU034	7	Chaston et al., 2016	integrated	summary		79	0	79	0	true	true	NA	NA	OTU taxon abundance in microbiota composition [class=<i>Bacilli</i>][order=<i>Bacillales</i>][family=<i>Bacillaceae</i>][genus=<i>Bacillus</i>][species=NA] (OTU_ID: 034)
1268	Microbiota_OTU035	7	Chaston et al., 2016	integrated	summary		79	0	79	0	true	true	NA	NA	OTU taxon abundance in microbiota composition [class=<i>Gammaproteobacteria</i>][order=<i>Xanthomonadales</i>][family=<i>Xanthomonadaceae</i>][genus=NA][species=NA] (OTU_ID: 035)
1269	Microbiota_OTU037	7	Chaston et al., 2016	integrated	summary		79	0	79	0	true	true	NA	NA	OTU taxon abundance in microbiota composition [class=<i>Alphaproteobacteria</i>][order=<i>Rhizobiales</i>][family=<i>Methylobacteriaceae</i>][genus=<i>Methylobacterium</i>][species=<i>Methylobacteriumadhaesivum</i>] (OTU_ID: 037) 
1270	Microbiota_OTU040	7	Chaston et al., 2016	integrated	summary		79	0	79	0	true	true	NA	NA	OTU taxon abundance in microbiota composition [class=<i>Alphaproteobacteria</i>][order=<i>Sphingomonadales</i>][family=<i>Sphingomonadaceae</i>][genus=<i>Sphingomonas</i>][species=NA] (OTU_ID: 040) 
1271	Microbiota_OTU041	7	Chaston et al., 2016	integrated	summary		79	0	79	0	true	true	NA	NA	OTU taxon abundance in microbiota composition [class=<i>Alphaproteobacteria</i>][order=<i>Rhizobiales</i>][family=<i>Phyllobacteriaceae</i>][genus=<i>Mesorhizobium</i>][species=NA] (OTU_ID: 041)
1272	Microbiota_OTU042	7	Chaston et al., 2016	integrated	summary		79	0	79	0	true	true	NA	NA	OTU taxon abundance in microbiota composition [class=<i>Gammaproteobacteria</i>][order=<i>Xanthomonadales</i>][family=<i>Xanthomonadaceae</i>][genus=NA][species=NA] (OTU_ID: 042)
1273	Microbiota_OTU044	7	Chaston et al., 2016	integrated	summary		79	0	79	0	true	true	NA	NA	OTU taxon abundance in microbiota composition [class=<i>Alphaproteobacteria</i>][order=<i>Rhodospirillales</i>][family=<i>Acetobacteraceae</i>][genus=<i>Acetobacter</i>][species=NA] (OTU_ID: 044)
1274	Microbiota_OTU045	7	Chaston et al., 2016	integrated	summary		79	0	79	0	true	true	NA	NA	OTU taxon abundance in microbiota composition [class=<i>Bacilli</i>][order=<i>Lactobacillales</i>][family=<i>Lactobacillaceae</i>][genus=<i>Lactobacillus</i>][species=<i>Lactobacillusbrevis</i>] (OTU_ID: 045)
1275	Microbiota_OTU046	7	Chaston et al., 2016	integrated	summary		79	0	79	0	true	true	NA	NA	OTU taxon abundance in microbiota composition [class=<i>Alphaproteobacteria</i>][order=<i>Rhizobiales</i>][family=<i>Methylobacteriaceae</i>][genus=<i>Methylobacterium</i>][species=<i>Methylobacteriumradiotolerans</i>] (OTU_ID: 046)
1276	Microbiota_OTU047	7	Chaston et al., 2016	integrated	summary		79	0	79	0	true	true	NA	NA	OTU taxon abundance in microbiota composition [class=<i>Sphingobacteria</i>][order=<i>Sphingobacteriales</i>][family=NA][genus=NA][species=NA] (OTU_ID: 047)
1277	Microbiota_OTU048	7	Chaston et al., 2016	integrated	summary		79	0	79	0	true	true	NA	NA	OTU taxon abundance in microbiota composition [class=NA][order=NA][family=NA][genus=NA][species=NA] (OTU_ID: 048)
1278	Microbiota_OTU050	7	Chaston et al., 2016	integrated	summary		79	0	79	0	true	true	NA	NA	OTU taxon abundance in microbiota composition [class=<i>Sphingobacteria</i>][order=<i>Sphingobacteriales</i>][family=<i>Sphingobacteriaceae</i>][genus=<i>Sphingobacterium</i>][species=NA] (OTU_ID: 050)
1279	Microbiota_OTU051	7	Chaston et al., 2016	integrated	summary		79	0	79	0	true	true	NA	NA	OTU taxon abundance in microbiota composition [class=<i>Bacilli</i>][order=<i>Bacillales</i>][family=NA][genus=NA][species=NA] (OTU_ID: 051)
1280	Microbiota_OTU052	7	Chaston et al., 2016	integrated	summary		79	0	79	0	true	true	NA	NA	OTU taxon abundance in microbiota composition [class=<i>Alphaproteobacteria</i>][order=<i>Rhodospirillales</i>][family=<i>Acetobacteraceae</i>][genus=<i>Acidocella</i>][species=NA] (OTU_ID: 052)
1281	Microbiota_OTU053	7	Chaston et al., 2016	integrated	summary		79	0	79	0	true	true	NA	NA	OTU taxon abundance in microbiota composition [class=<i>Betaproteobacteria</i>][order=<i>Burkholderiales</i>][family=<i>Comamonadaceae</i>][genus=<i>Comamonas</i>][species=NA] (OTU_ID: 053)
1282	Microbiota_OTU056	7	Chaston et al., 2016	integrated	summary		79	0	79	0	true	true	NA	NA	OTU taxon abundance in microbiota composition [class=<i>Alphaproteobacteria</i>][order=<i>Rhizobiales</i>][family=<i>Methylobacteriaceae</i>][genus=<i>Methylobacterium</i>][species=NA] (OTU_ID: 056)
1283	Microbiota_OTU058	7	Chaston et al., 2016	integrated	summary		79	0	79	0	true	true	NA	NA	OTU taxon abundance in microbiota composition [class=<i>Alphaproteobacteria</i>][order=<i>Rhodospirillales</i>][family=<i>Acetobacteraceae</i>][genus=<i>Gluconacetobacter</i>][species=NA] (OTU_ID: 058)
1284	Microbiota_OTU060	7	Chaston et al., 2016	integrated	summary		79	0	79	0	true	true	NA	NA	OTU taxon abundance in microbiota composition [class=<i>Alphaproteobacteria</i>][order=<i>Rhodospirillales</i>][family=<i>Acetobacteraceae</i>][genus=<i>Acetobacter</i>][species=NA] (OTU_ID: 060)
1285	Microbiota_OTU063	7	Chaston et al., 2016	integrated	summary		79	0	79	0	true	true	NA	NA	OTU taxon abundance in microbiota composition [class=<i>Alphaproteobacteria</i>][order=<i>Rhodospirillales</i>][family=<i>Acetobacteraceae</i>][genus=<i>Gluconobacter</i>][species=NA] (OTU_ID: 063)
1286	Microbiota_OTU068	7	Chaston et al., 2016	integrated	summary		79	0	79	0	true	true	NA	NA	OTU taxon abundance in microbiota composition [class=<i>Alphaproteobacteria</i>][order=<i>Rhodospirillales</i>][family=<i>Acetobacteraceae</i>][genus=<i>Acetobacter</i>][species=NA] (OTU_ID: 068)
1287	Microbiota_OTU069	7	Chaston et al., 2016	integrated	summary		79	0	79	0	true	true	NA	NA	OTU taxon abundance in microbiota composition [class=<i>4C0d-2</i>][order=<i>mle1-12</i>][family=NA][genus=NA][species=NA] (OTU_ID: 069)
1288	Microbiota_OTU073	7	Chaston et al., 2016	integrated	summary		79	0	79	0	true	true	NA	NA	OTU taxon abundance in microbiota composition [class=<i>Sphingobacteria</i>][order=<i>Sphingobacteriales</i>][family=<i>Sphingobacteriaceae</i>][genus=<i>Pedobacter</i>][species=NA] (OTU_ID: 073)
1289	Microbiota_OTU074	7	Chaston et al., 2016	integrated	summary		79	0	79	0	true	true	NA	NA	OTU taxon abundance in microbiota composition [class=<i>Alphaproteobacteria</i>][order=<i>Rhodospirillales</i>][family=<i>Acetobacteraceae</i>][genus=<i>Acetobacter</i>][species=NA] (OTU_ID: 074)
1290	Microbiota_OTU077	7	Chaston et al., 2016	integrated	summary		79	0	79	0	true	true	NA	NA	OTU taxon abundance in microbiota composition [class=<i>Betaproteobacteria</i>][order=<i>Burkholderiales</i>][family=<i>Alcaligenaceae</i>][genus=<i>Achromobacter</i>][species=NA] (OTU_ID: 077)
1291	Microbiota_OTU081	7	Chaston et al., 2016	integrated	summary		79	0	79	0	true	true	NA	NA	OTU taxon abundance in microbiota composition [class=<i>Alphaproteobacteria</i>][order=<i>Rhodospirillales</i>][family=<i>Acetobacteraceae</i>][genus=<i>Acetobacter</i>][species=NA] (OTU_ID: 081)
1292	Microbiota_OTU082	7	Chaston et al., 2016	integrated	summary		79	0	79	0	true	true	NA	NA	OTU taxon abundance in microbiota composition [class=<i>Gammaproteobacteria</i>][order=<i>Xanthomonadales</i>][family=<i>Xanthomonadaceae</i>][genus=NA][species=NA] (OTU_ID: 082)
1293	Microbiota_OTU087	7	Chaston et al., 2016	integrated	summary		79	0	79	0	true	true	NA	NA	OTU taxon abundance in microbiota composition [class=<i>Deltaproteobacteria</i>][order=<i>MIZ46</i>][family=NA][genus=NA][species=NA] (OTU_ID: 087)
1294	Microbiota_OTU090	7	Chaston et al., 2016	integrated	summary		79	0	79	0	true	true	NA	NA	OTU taxon abundance in microbiota composition [class=<i>Bacilli</i>][order=<i>Lactobacillales</i>][family=<i>Lactobacillaceae</i>][genus=<i>Lactobacillus</i>][species=<i>Lactobacillusbrevis</i>] (OTU_ID: 090)
1295	Microbiota_OTU091	7	Chaston et al., 2016	integrated	summary		79	0	79	0	true	true	NA	NA	OTU taxon abundance in microbiota composition [class=<i>Alphaproteobacteria</i>][order=<i>Rhodospirillales</i>][family=<i>Acetobacteraceae</i>][genus=NA][species=NA](OTU_ID: 091)
1296	Microbiota_OTU110	7	Chaston et al., 2016	integrated	summary		79	0	79	0	true	true	NA	NA	OTU taxon abundance in microbiota composition [class=<i>Betaproteobacteria</i>][order=<i>Burkholderiales</i>][family=<i>Comamonadaceae</i>][genus=<i>Comamonas</i>][species=NA] (OTU_ID: 110)
1297	Microbiota_OTU115	7	Chaston et al., 2016	integrated	summary		79	0	79	0	true	true	NA	NA	OTU taxon abundance in microbiota composition [class=<i>Alphaproteobacteria</i>][order=<i>Rhodospirillales</i>][family=<i>Acetobacteraceae</i>][genus=<i>Gluconacetobacter</i>][species=NA] (OTU_ID: 115)
1298	Microbiota_OTU121	7	Chaston et al., 2016	integrated	summary		79	0	79	0	true	true	NA	NA	OTU taxon abundance in microbiota composition [class=<i>Alphaproteobacteria</i>][order=<i>Rhodospirillales</i>][family=<i>Acetobacteraceae</i>][genus=<i>Acetobacter</i>][species=NA] (OTU_ID: 121)
1299	Microbiota_OTU124	7	Chaston et al., 2016	integrated	summary		79	0	79	0	true	true	NA	NA	OTU taxon abundance in microbiota composition [class=<i>Bacilli</i>][order=<i>Lactobacillales</i>][family=<i>Lactobacillaceae</i>][genus=<i>Lactobacillus</i>][species=<i>Lactobacillusbrevis</i>] (OTU_ID: 124)
1300	Microbiota_OTU127	7	Chaston et al., 2016	integrated	summary		79	0	79	0	true	true	NA	NA	OTU taxon abundance in microbiota composition [class=<i>Alphaproteobacteria</i>][order=<i>Rhodospirillales</i>][family=<i>Acetobacteraceae</i>][genus=<i>Acetobacter</i>][species=NA] (OTU_ID: 127)
1301	Microbiota_OTU134	7	Chaston et al., 2016	integrated	summary		79	0	79	0	true	true	NA	NA	OTU taxon abundance in microbiota composition [class=<i>Actinobacteria</i>][order=<i>Solirubrobacterales</i>][family=<i>Patulibacteraceae</i>][genus=NA][species=NA] (OTU_ID: 134)
1302	Microbiota_OTU137	7	Chaston et al., 2016	integrated	summary		79	0	79	0	true	true	NA	NA	OTU taxon abundance in microbiota composition [class=<i>Alphaproteobacteria</i>][order=<i>Rhodospirillales</i>][family=<i>Acetobacteraceae</i>][genus=<i>Gluconacetobacter</i>][species=NA] (OTU_ID: 137)
1303	Microbiota_OTU154	7	Chaston et al., 2016	integrated	summary		79	0	79	0	true	true	NA	NA	OTU taxon abundance in microbiota composition [class=<i>Alphaproteobacteria</i>][order=<i>Rhodospirillales</i>][family=<i>Acetobacteraceae</i>][genus=<i>Gluconacetobacter</i>][species=NA] (OTU_ID: 154)
1304	Microbiota_OTU160	7	Chaston et al., 2016	integrated	summary		79	0	79	0	true	true	NA	NA	OTU taxon abundance in microbiota composition [class=<i>Gammaproteobacteria</i>][order=<i>Xanthomonadales</i>][family=<i>Xanthomonadaceae</i>][genus=NA][species=NA] (OTU_ID: 160)
1305	Microbiota_OTU166	7	Chaston et al., 2016	integrated	summary		79	0	79	0	true	true	NA	NA	OTU taxon abundance in microbiota composition [class=<i>Bacilli</i>][order=<i>Lactobacillales</i>][family=<i>Lactobacillaceae</i>][genus=<i>Lactobacillus</i>][species=<i>Lactobacillusbrevis</i>] (OTU_ID: 166)
1306	Microbiota_OTU170	7	Chaston et al., 2016	integrated	summary		79	0	79	0	true	true	NA	NA	OTU taxon abundance in microbiota composition [class=<i>Alphaproteobacteria</i>][order=<i>Rhodospirillales</i>][family=<i>Acetobacteraceae</i>][genus=<i>Acetobacter</i>][species=NA] (OTU_ID: 170)
1307	Microbiota_OTU171	7	Chaston et al., 2016	integrated	summary		79	0	79	0	true	true	NA	NA	OTU taxon abundance in microbiota composition [class=<i>Alphaproteobacteria</i>][order=<i>Rhodospirillales</i>][family=<i>Acetobacteraceae</i>][genus=<i>Acetobacter</i>][species=NA] (OTU_ID: 171)
1308	Microbiota_OTU172	7	Chaston et al., 2016	integrated	summary		79	0	79	0	true	true	NA	NA	OTU taxon abundance in microbiota composition [class=<i>Alphaproteobacteria</i>][order=<i>Rhodospirillales</i>][family=<i>Acetobacteraceae</i>][genus=<i>Acetobacter</i>][species=NA] (OTU_ID: 172)
1309	Microbiota_OTU173	7	Chaston et al., 2016	integrated	summary		79	0	79	0	true	true	NA	NA	OTU taxon abundance in microbiota composition [class=<i>Alphaproteobacteria</i>][order=<i>Rhodospirillales</i>][family=<i>Acetobacteraceae</i>][genus=<i>Acetobacter</i>][species=NA] (OTU_ID: 173)
1311	mn_RespBenzaldeh_3_5	1	Arya et al., 2010	integrated	summary		139	139	139	0	true	true	mean	NA	Mean Response Score to Benzaldehyde 3.5% odorant
1312	mn_RespAcetophen_3_5	1	Arya et al., 2010	integrated	summary		219	219	219	0	true	true	mean	NA	Mean Response Score to Acetophenone 3.5% odorant
1313	mn_RespHexanol_3_5	1	Arya et al., 2010	integrated	summary		219	219	219	0	true	true	mean	NA	Mean Response Score to Hexanol 3.5% odorant
1314	mn_RespHexanol_0_3	1	Arya et al., 2010	integrated	summary		219	219	219	0	true	true	mean	NA	Mean Response Score to Hexanol 0.3% odorant
1315	mn_Longevity	1	Arya et al., 2010	integrated	summary		218	218	218	0	true	true	mean	Days	Longevity / Lifespan
1316	mn_Resp_Hexanal	2	Arya et al., 2015	integrated	summary		186	186	186	0	true	true	mean	NA	Mean response score to hexanal odorant (Aldehyde)
1317	mn_Resp_Citral	2	Arya et al., 2015	integrated	summary		186	186	186	0	true	true	mean	NA	Mean response score to citral odorant (Aldehyde, adjusted for block effect)
1318	mn_Resp_2_Heptanone	2	Arya et al., 2015	integrated	summary		186	186	186	0	true	true	mean	NA	Mean response score to 2-Heptanone alcohol odorant (Ketone, adjusted for block effect)
1319	mn_Resp_2_PhenylEthy	2	Arya et al., 2015	integrated	summary		186	186	186	0	true	true	mean	NA	Mean response score to 2-Phenyl ethyl alcohol odorant (Aromatics)
1320	mn_Resp_MethylSalicy	2	Arya et al., 2015	integrated	summary		186	186	186	0	true	true	mean	NA	Mean response score to methyl salicylate odorant (Aromatics, adjusted for block effect)
1321	mn_Resp_Benzaldehyde	2	Arya et al., 2015	integrated	summary		186	186	186	0	true	true	mean	NA	Mean response score to benzaldehyde odorant (Aromatics)
1322	mn_Resp_1_Acetophen	2	Arya et al., 2015	integrated	summary		186	186	186	0	true	true	mean	NA	Mean response score to acetophenone odorant (Aromatics)
1323	mn_Resp_Eugenol	2	Arya et al., 2015	integrated	summary		185	185	185	0	true	true	mean	NA	Mean response score to eugenol odorant (Aromatics, adjusted for block effect)
1324	mn_Resp_Helional	2	Arya et al., 2015	integrated	summary		186	186	186	0	true	true	mean	NA	Mean response score to helional odorant (Aromatics)
1325	mn_Resp_I_Carvone	2	Arya et al., 2015	integrated	summary		186	186	186	0	true	true	mean	NA	Mean response score to I-Carvone odorant (Carvones)
1326	mn_Resp_d_Carvone	2	Arya et al., 2015	integrated	summary		186	186	186	0	true	true	mean	NA	Mean response score to d-Carvone odorant (Carvones)
