,Inversion set,Phenotype,Figure.shorthand,Dim.1,Dim.2,Dim.3,Dim.4,Dim.5
45,In(3R)Mo,Food_Intake_M,Feeding,-0.476202358,0.018010076,0.202294922,0.419089938,0.472374784
46,In(3R)Mo,Microbiota_OTU037_M,Microbiome,0.011354586,0.626045988,0.071104486,0.480543867,-0.031324227
47,In(3R)Mo,Microbiota_OTU110_M,Microbiome,-0.444415334,0.584598623,0.000240363,0.417360114,-0.076105482
48,In(3R)Mo,Microbiota_OTU137_M,Microbiome,-0.311640556,0.044411223,-0.078734255,-0.061693239,0.027118339
49,In(3R)Mo,Mitochon_Consens_Dif_NA,Metabolism,0.081268737,0.628807529,0.633964215,-0.42169154,0.102025894
50,In(3R)Mo,Mitochon_Consens_Len_NA,Metabolism,-0.081268737,-0.628807529,-0.633964215,0.42169154,-0.102025894
51,In(3R)Mo,Wing_Area_M,Body size,0.82862619,0.28909722,-0.021805981,0.190233038,0.064375314
52,In(3R)Mo,Wing_PCV_Length_F,Body size,0.81273998,0.165663175,-0.104726974,0.180741749,0.17776193
53,In(3R)Mo,Wing_PCV_Length_M,Body size,0.853965613,0.155544775,-0.063110587,0.169693153,0.144529911
54,In(3R)Mo,Wing_Width_M,Body size,0.792797567,0.325783451,-0.038060197,0.236136491,0.088171689
55,In(3R)Mo,mn_BoutLength_Day_M,Sleep,-0.364404029,0.551131307,-0.187611097,0.184350813,-0.47829552
56,In(3R)Mo,mn_BoutNumber_Day_M,Sleep,0.294563966,-0.518840234,0.131952422,-0.208083952,0.405856492
57,In(3R)Mo,mn_Glycerol_LowDiet_M,Metabolism,0.093491234,-0.478404715,0.640498784,0.383494644,-0.280915427
58,In(3R)Mo,mn_Glycerol_Pooled_M,Metabolism,0.072915597,-0.551329621,0.558971806,0.378115741,-0.300805136
59,In(3R)Mo,mn_RespBenzaldeh_3_5_F,Chemical sensitivity,0.587220099,-0.248969314,-0.041842637,-0.012108396,-0.11674327
60,In(3R)Mo,mn_StartleResp_MSB_M,Startle response,-0.065203379,-0.012601126,-0.035833842,0.112657869,0.504302417
61,In(3R)Mo,se_ChillComaRec_M,Chill Coma Rec.,-0.220756054,0.045381581,-0.147166786,0.053005266,0.358924517
